,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,khatanga,71.9667,102.5,29.53,94,100,14.92,RU,1634668083
290,huntsville,34.7304,-86.5861,74.68,49,1,1.99,US,1634668564
291,carnarvon,-24.8667,113.6333,66.27,63,90,11.5,AU,1634668039
292,sioux lookout,50.1001,-91.917,44.98,81,90,12.66,CA,1634668036
293,watertown,42.3709,-71.1828,63.41,43,1,8.01,US,1634668084
294,phultala,22.7,89.5167,76.71,96,100,5.59,BD,1634668564
295,tres arroyos,-38.3739,-60.2798,74.16,32,5,7.7,AR,1634668564
296,auki,-8.7676,160.7034,76.84,86,100,4.07,SB,1634668565
297,davila,18.4726,120.5763,76.98,85,89,13.67,PH,1634668565
298,sneek,53.033,5.6589,64.0,88,100,14.0,NL,1634668566
299,taltal,-25.4,-70.4833,63.23,64,27,4.99,CL,1634668566
300,cockburn town,21.4612,-71.1419,84.16,70,75,5.75,TC,1634668126
301,popondetta,-8.7537,148.2534,71.71,96,22,3.27,PG,1634668566
302,zhezkazgan,47.8043,67.7144,49.37,34,98,8.3,KZ,1634668567
303,itajai,-26.9078,-48.6619,69.78,56,75,10.36,BR,1634668549
304,wittenheim,47.8078,7.337,61.54,77,68,5.26,FR,1634668567
305,malacacheta,-17.8422,-42.0767,70.66,89,100,1.57,BR,1634668567
306,tarko-sale,64.9225,77.785,42.98,81,100,22.53,RU,1634668568
307,novopokrovka,49.8425,36.5477,41.38,64,26,7.56,UA,1634668568
308,ryotsu,38.0833,138.4333,59.72,76,100,29.55,JP,1634668569
309,leningradskiy,69.3833,178.4167,25.18,92,100,13.71,RU,1634668156
310,san luis,-33.295,-66.3356,81.05,15,0,8.05,AR,1634668569
311,potosi,-19.5836,-65.7531,63.07,8,34,11.97,BO,1634668569
312,groningen,53.25,6.75,63.01,78,90,4.0,NL,1634668342
313,islamkot,24.6997,70.177,79.81,52,0,13.09,PK,1634668570
314,malakal,9.5334,31.6605,81.01,51,91,3.44,SS,1634668570
315,cornwall,45.0181,-74.7281,57.61,66,90,9.22,CA,1634668505
316,marrakesh,31.6315,-8.0083,89.67,20,0,5.75,MA,1634668473
317,shahrud,36.4182,54.9763,55.8,65,6,7.18,IR,1634668570
318,gayny,60.3071,54.3241,33.69,81,100,7.05,RU,1634668571
319,airai,-8.9266,125.4092,61.99,79,20,1.95,TL,1634668277
320,stornoway,58.2093,-6.3865,57.16,94,75,5.75,GB,1634668571
321,tiksi,71.6872,128.8694,17.98,96,100,6.76,RU,1634668572
322,tamayong,7.1331,125.3797,72.59,88,85,1.81,PH,1634668572
323,saint-francois,46.4154,3.9054,56.68,82,0,3.44,FR,1634668572
324,arys,42.4252,68.795,55.62,22,100,6.38,KZ,1634668573
325,hami,42.8,93.45,54.34,24,1,1.77,CN,1634668172
326,niono,14.2526,-5.993,88.79,40,40,11.77,ML,1634668573
327,henties bay,-22.116,14.2845,58.86,89,100,8.43,NA,1634668279
328,xuddur,4.1213,43.8894,76.77,72,76,15.14,SO,1634668210
329,evans,33.5337,-82.1307,78.01,43,1,4.0,US,1634668574
330,parauna,-16.9478,-50.4486,82.31,52,100,5.82,BR,1634668574
331,la reforma,25.0833,-108.05,93.74,52,68,10.16,MX,1634668574
332,camana,-16.6228,-72.7111,67.84,71,78,8.59,PE,1634668141
333,broken hill,-31.95,141.4333,53.31,40,24,9.22,AU,1634668117
334,holme,56.1138,10.1725,57.06,95,100,17.6,DK,1634668575
335,saskylakh,71.9167,114.0833,22.21,97,100,1.1,RU,1634668293
336,kununurra,-15.7667,128.7333,82.38,74,45,8.05,AU,1634667998
337,sur,22.5667,59.5289,84.16,53,7,8.59,OM,1634668054
338,champerico,14.3,-91.9167,88.34,78,100,8.21,GT,1634668575
339,douala,4.0483,9.7043,78.71,89,40,1.14,CM,1634668566
340,garmsar,35.2182,52.3409,69.03,19,4,3.2,IR,1634668575
341,beira,-19.8436,34.8389,71.69,88,90,18.41,MZ,1634668295
342,fayaoue,-20.65,166.5333,75.47,84,100,3.11,NC,1634668576
343,chikwawa,-16.0335,34.8009,76.06,67,90,11.41,MW,1634668576
344,cururupu,-1.8283,-44.8683,88.88,52,84,8.48,BR,1634668193
345,artyom,40.4723,50.333,60.94,77,97,14.09,AZ,1634668140
346,kodiak,57.79,-152.4072,44.11,76,90,6.91,US,1634668219
347,kahului,20.8947,-156.47,78.82,71,20,10.36,US,1634668577
348,assai,-23.3733,-50.8414,71.46,90,100,7.14,BR,1634668577
349,koumac,-20.5667,164.2833,73.35,85,100,3.94,NC,1634668577
350,sovetskaya gavan,48.9723,140.2878,24.19,67,0,5.7,RU,1634668578
351,flinders,-34.5833,150.8552,56.48,86,73,4.0,AU,1634668072
352,chumikan,54.7183,135.315,23.94,84,14,16.91,RU,1634668578
353,storsteinnes,69.2408,19.2344,27.37,76,100,8.28,NO,1634668260
354,pangnirtung,66.1451,-65.7125,33.8,86,90,2.3,CA,1634668578
355,tromso,69.6496,18.957,27.37,74,0,3.44,NO,1634668116
356,abu kamal,34.4506,40.9171,73.72,40,0,7.34,SY,1634668579
357,umba,66.6871,34.3429,30.76,77,28,8.97,RU,1634668579
358,bodden town,19.2833,-81.25,80.6,93,75,1.99,KY,1634668270
359,borogontsy,62.6683,131.1683,15.51,94,100,4.97,RU,1634668579
360,vanimo,-2.6741,141.3028,77.74,90,100,3.74,PG,1634668074
361,husavik,66.0449,-17.3389,31.91,69,100,21.92,IS,1634668122
362,jutai,-5.1833,-68.9,85.05,64,84,2.44,BR,1634668580
363,chhatapur,26.2167,87.0167,71.67,98,100,14.92,IN,1634668580
364,searcy,35.2506,-91.7363,72.32,43,1,8.99,US,1634668580
365,alcala la real,37.4614,-3.923,69.1,45,55,2.21,ES,1634668581
366,dwarka,22.2394,68.9678,80.49,61,3,8.97,IN,1634668269
367,akyab,20.15,92.9,79.95,83,41,6.78,MM,1634668135
368,damietta,31.4165,31.8133,72.7,62,3,11.1,EG,1634668581
369,zeya,53.75,127.2667,26.85,78,0,2.35,RU,1634668387
370,mandurah,-32.55,115.7,60.22,73,100,27.56,AU,1634668581
371,mayo,38.8876,-76.5119,74.21,42,1,4.0,US,1634668100
372,kutum,14.2,24.6667,80.17,17,64,12.84,SD,1634668582
373,mar del plata,-38.0023,-57.5575,66.22,63,0,13.8,AR,1634668163
374,severo-kurilsk,50.6789,156.125,39.65,83,86,13.02,RU,1634668173
375,tarakan,3.3,117.6333,80.49,75,100,3.27,ID,1634668308
376,busselton,-33.65,115.3333,53.1,75,100,21.34,AU,1634668582
377,kaeo,-35.1,173.7833,52.32,95,82,5.37,NZ,1634668229
378,tumaco,1.7986,-78.8156,80.17,79,96,12.28,CO,1634668112
379,sanchor,24.7553,71.7722,79.99,45,0,8.03,IN,1634668583
380,bredasdorp,-34.5322,20.0403,58.28,88,0,14.99,ZA,1634668173
381,dikson,73.5069,80.5464,27.79,57,100,12.33,RU,1634668151
382,ahipara,-35.1667,173.1667,52.29,90,82,4.92,NZ,1634668159
383,beloha,-25.1667,45.05,67.24,79,100,11.43,MG,1634668012
384,bambous virieux,-20.3428,57.7575,73.65,78,40,8.05,MU,1634668238
385,ocampo,21.65,-101.5,71.28,34,5,3.67,MX,1634668583
386,tongliao,43.6125,122.2653,34.23,47,0,7.43,CN,1634668235
387,vieux-habitants,16.0589,-61.7659,85.57,72,34,7.09,GP,1634668584
388,bosaso,11.2842,49.1816,82.09,57,12,3.6,SO,1634668247
389,warragul,-38.1667,145.9333,52.45,93,44,10.0,AU,1634668584
390,half moon bay,37.4636,-122.4286,65.59,69,1,1.01,US,1634668006
391,fare,-16.7,-151.0167,79.27,78,100,13.56,PF,1634668291
392,huari,-9.3333,-77.2333,55.76,51,94,7.16,PE,1634668585
393,ziniare,12.5822,-1.2983,86.04,49,86,6.11,BF,1634668585
394,ambatondrazaka,-17.8333,48.4167,60.8,91,0,2.59,MG,1634668585
395,asau,46.4333,26.4,48.76,77,64,4.43,RO,1634668122
396,pasighat,28.0667,95.3333,73.58,94,100,2.42,IN,1634668346
397,alofi,-19.0595,-169.9187,73.29,78,100,9.22,NU,1634668194
398,san rafael del sur,11.8485,-86.4384,86.97,78,85,5.84,NI,1634668586
399,rudbar,30.15,62.6,74.7,10,0,6.76,AF,1634668586
400,salalah,17.0151,54.0924,78.89,83,75,5.75,OM,1634668067
401,bukama,-9.2,25.85,75.13,78,100,1.97,CD,1634668586
402,awjilah,29.1081,21.2869,74.48,39,56,8.48,LY,1634668587
403,namatanai,-3.6667,152.4333,79.11,80,40,5.41,PG,1634668114
404,saldanha,-33.0117,17.9442,69.85,63,0,14.67,ZA,1634668188
405,sorland,67.667,12.6934,40.86,62,100,27.65,NO,1634668196
406,yatou,37.15,122.3833,47.16,54,43,13.22,CN,1634668587
407,beringovskiy,63.05,179.3167,28.18,84,99,15.14,RU,1634668170
408,ancud,-41.8697,-73.8203,67.53,76,17,7.58,CL,1634668588
409,warrnambool,-38.3833,142.4833,49.8,90,68,14.72,AU,1634668588
410,kisangani,0.5167,25.2,70.75,98,100,2.44,CD,1634668588
411,armeria,18.9333,-103.9667,87.57,59,41,6.42,MX,1634668589
412,ouesso,1.6136,16.0517,72.43,97,100,1.54,CG,1634668589
413,sabang,5.8933,95.3214,81.14,79,100,12.41,ID,1634668077
414,lipin bor,60.2622,37.9763,34.43,95,100,9.42,RU,1634668589
415,east london,-33.0153,27.9116,63.54,67,40,6.91,ZA,1634668085
416,san carlos de bariloche,-41.1456,-71.3082,76.75,16,0,11.5,AR,1634667792
417,ulladulla,-35.35,150.4667,56.3,88,87,16.67,AU,1634668277
418,lebu,-37.6167,-73.65,60.64,72,1,10.2,CL,1634668064
419,hambantota,6.1241,81.1185,77.34,100,0,2.3,LK,1634668255
420,nokaneng,-19.6667,22.2667,71.71,58,95,15.7,BW,1634668590
421,maniitsoq,65.4167,-52.9,35.55,47,21,3.51,GL,1634668340
422,atar,20.5169,-13.0499,102.25,16,0,13.8,MR,1634668591
423,ambilobe,-13.2,49.05,73.63,73,25,4.14,MG,1634668240
424,andenes,69.3143,16.1194,33.78,60,100,24.16,NO,1634668311
425,mayumba,-3.432,10.6554,75.97,84,100,6.55,GA,1634668591
426,lakatoro,-16.0999,167.4164,78.78,82,100,10.78,VU,1634668591
427,jiuquan,39.7432,98.5174,40.41,30,96,4.43,CN,1634668078
428,manokwari,-0.8667,134.0833,78.6,76,100,2.57,ID,1634668225
429,sambava,-14.2667,50.1667,72.28,85,64,7.92,MG,1634668305
430,vao,-22.6667,167.4833,72.86,88,100,10.27,NC,1634668101
431,moanda,-1.5575,13.2178,75.43,98,100,1.5,GA,1634668592
432,bela vista do paraiso,-22.9967,-51.1906,70.84,88,100,6.15,BR,1634668592
433,pacifica,37.6138,-122.4869,66.34,70,75,1.01,US,1634668593
434,pangai,-19.8,-174.35,75.31,57,20,14.97,TO,1634668327
435,kathu,7.9178,98.3332,79.7,94,98,4.23,TH,1634668593
436,ginir,7.1333,40.7,58.6,44,11,4.63,ET,1634668593
437,kovur,14.4833,79.9833,83.68,73,100,3.27,IN,1634668594
438,montalban,44.0167,1.35,67.14,83,98,10.31,FR,1634668594
439,kapustin yar,48.5831,45.7372,43.07,76,51,8.34,RU,1634668594
440,paamiut,61.994,-49.6678,40.08,55,0,2.84,GL,1634668595
441,sao gabriel da cachoeira,-0.1303,-67.0892,84.0,74,20,4.61,BR,1634668246
442,bang saphan,11.2126,99.5117,75.61,94,15,2.82,TH,1634668595
443,tura,25.5198,90.2201,71.64,99,100,2.55,IN,1634668099
444,jiwani,25.05,61.7417,79.86,76,0,6.58,PK,1634668595
445,miles city,46.4083,-105.8406,41.5,87,90,14.97,US,1634668596
446,russell,32.3502,-85.1999,76.96,50,1,0.0,US,1634668205
447,sao sebastiao,-23.76,-45.4097,66.18,94,100,6.4,BR,1634668596
448,ingham,42.6,-84.3833,72.84,59,1,6.91,US,1634668208
449,isangel,-19.55,169.2667,77.11,83,100,3.44,VU,1634668052
450,marzuq,14.4,46.4667,76.91,43,71,3.11,YE,1634668161
451,pacific grove,36.6177,-121.9166,64.76,77,1,5.01,US,1634667960
452,puerto ayora,-0.7393,-90.3518,80.56,80,63,9.98,EC,1634668091
453,komsomolskiy,40.4272,71.7189,56.12,54,93,6.91,UZ,1634668033
454,hithadhoo,-0.6,73.0833,83.23,73,61,12.35,MV,1634668158
455,nuuk,64.1835,-51.7216,43.41,28,1,1.14,GL,1634668344
456,lulea,65.5842,22.1547,33.87,75,75,12.66,SE,1634668597
457,abu zabad,12.35,29.25,87.94,17,22,8.81,SD,1634668597
458,nampula,-15.1165,39.2666,76.95,65,75,9.22,MZ,1634668598
459,paracuru,-3.41,-39.0306,86.02,66,10,15.46,BR,1634668230
460,shimoda,34.6667,138.95,57.11,75,68,22.7,JP,1634668015
461,lagoa,39.05,-27.9833,68.31,70,2,15.59,PT,1634668159
462,kushmurun,52.4503,64.6311,49.95,34,100,8.59,KZ,1634668598
463,jamestown,42.097,-79.2353,67.3,50,1,3.0,US,1634668128
464,leshan,29.5623,103.7639,56.46,94,100,1.14,CN,1634668455
465,denpasar,-8.65,115.2167,80.26,88,75,4.61,ID,1634668353
466,vestmanna,62.1564,-7.1664,49.12,100,90,6.91,FO,1634668187
467,ribeira grande,38.5167,-28.7,72.0,64,40,11.5,PT,1634668153
468,olinda,-8.0089,-34.8553,83.93,70,40,9.22,BR,1634668599
469,panaba,21.2833,-88.2667,93.78,40,100,9.37,MX,1634668255
470,port lincoln,-34.7333,135.8667,62.04,64,100,22.82,AU,1634668204
471,egvekinot,66.3167,-179.1667,20.79,83,100,17.05,RU,1634668283
472,itaueira,-7.6033,-43.0256,96.42,29,40,5.55,BR,1634668599
473,porto novo,6.4965,2.6036,82.22,78,72,7.27,BJ,1634668599
474,sabinas hidalgo,26.5,-100.1667,83.95,45,100,7.61,MX,1634668600
475,punta arenas,-53.15,-70.9167,62.71,51,75,35.68,CL,1634668152
476,jalu,29.0331,21.5482,75.47,38,89,12.26,LY,1634668104
477,iralaya,15.0,-83.2333,78.89,92,100,6.51,HN,1634668250
478,gwadar,25.1216,62.3254,79.65,73,0,5.99,PK,1634668600
479,uusikaupunki,60.8004,21.4084,39.72,91,100,19.26,FI,1634668601
480,port moresby,-9.4431,147.1797,72.82,100,20,5.75,PG,1634668262
481,ballarat,-37.5662,143.8496,47.17,96,31,5.28,AU,1634668601
482,tual,-5.6667,132.75,82.85,77,86,9.26,ID,1634668090
483,yerbogachen,61.2767,108.0108,33.73,88,100,10.45,RU,1634668116
484,tevaitoa,-16.7833,-151.5,79.5,79,94,14.72,PF,1634668081
485,bougouni,11.417,-7.479,83.1,47,95,4.9,ML,1634668601
486,cedar city,37.6775,-113.0619,53.4,45,1,5.75,US,1634668602
487,sao filipe,14.8961,-24.4956,82.4,63,3,4.81,CV,1634668132
488,kurmanayevka,52.5093,52.0675,43.05,53,100,7.11,RU,1634668602
489,tezu,27.9167,96.1667,74.89,81,100,1.39,IN,1634668602
490,lasa,46.6166,10.7002,60.26,75,56,2.06,IT,1634668239
491,port-gentil,-0.7193,8.7815,78.76,83,75,9.22,GA,1634668302
492,jacareacanga,-6.2222,-57.7528,89.91,58,20,3.44,BR,1634668092
493,kenai,60.5544,-151.2583,39.15,86,20,14.97,US,1634668603
494,port blair,11.6667,92.75,80.89,83,15,7.16,IN,1634668279
495,tecoanapa,16.5167,-98.75,84.92,69,100,8.1,MX,1634668603
496,zhigansk,66.7697,123.3711,27.81,97,100,18.34,RU,1634668025
497,okhotsk,59.3833,143.3,9.7,71,6,11.32,RU,1634668231
498,whitianga,-36.8333,175.7,51.03,87,80,4.14,NZ,1634668604
499,upernavik,72.7868,-56.1549,34.54,73,100,18.59,GL,1634668154
500,lavrentiya,65.5833,-171.0,27.79,95,100,19.53,RU,1634668073
501,tiznit,29.5833,-9.5,77.72,29,40,3.33,MA,1634668076
502,chilmari,25.5559,89.6715,75.51,96,100,5.14,BD,1634668604
503,nemuro,43.3236,145.575,54.12,84,100,14.29,JP,1634667964
504,guerrero negro,27.9769,-114.0611,70.83,54,5,16.75,MX,1634668605
505,coquimbo,-29.9533,-71.3436,58.73,77,75,10.36,CL,1634668200
506,juegang,32.3174,121.1855,58.91,59,100,10.22,CN,1634668605
507,torbay,47.6666,-52.7314,60.49,67,20,11.5,CA,1634668162
508,melville,40.7934,-73.4151,68.25,47,1,4.0,US,1634668606
509,homer,59.6425,-151.5483,40.8,90,90,5.75,US,1634668429
510,doha,25.2867,51.5333,85.98,52,0,9.22,QA,1634668118
511,teguldet,57.3064,88.1667,35.65,92,45,4.79,RU,1634668278
512,chokurdakh,70.6333,147.9167,-7.22,96,100,6.64,RU,1634668223
513,provideniya,64.3833,-173.3,32.85,95,100,11.83,RU,1634668104
514,borovoy,55.4333,86.0833,40.28,70,0,4.47,RU,1634668606
515,nikolskoye,59.7035,30.7861,33.8,80,48,3.65,RU,1634668161
516,vallam,10.7167,79.0833,82.45,79,100,3.96,IN,1634668607
517,shumskiy,54.8318,99.1328,29.21,90,32,3.02,RU,1634668607
518,olafsvik,64.8945,-23.7142,37.87,67,47,37.76,IS,1634668163
519,kruisfontein,-34.0033,24.7314,60.89,75,0,11.1,ZA,1634668177
520,villa rica,33.7321,-84.9191,76.37,54,5,4.45,US,1634668608
521,santa rosalia,27.3167,-112.2833,74.7,36,1,5.21,MX,1634668144
522,grand gaube,-20.0064,57.6608,73.8,78,31,1.01,MU,1634668120
523,williams lake,52.1415,-122.1445,38.77,100,90,5.75,CA,1634668608
524,mabama,-5.1333,32.5333,76.75,46,96,5.66,TZ,1634668608
525,caravelas,-17.7125,-39.2481,80.83,69,11,10.74,BR,1634668290
526,deputatskiy,69.3,139.9,-13.85,90,47,4.47,RU,1634668609
527,esperance,-33.8667,121.9,60.64,59,46,29.46,AU,1634668096
528,mayor pablo lagerenza,-19.9309,-60.7718,93.0,18,3,8.59,PY,1634668609
529,cabo san lucas,22.8909,-109.9124,89.62,57,1,13.8,MX,1634668165
530,matagami,49.7502,-77.6328,51.91,58,1,5.75,CA,1634668610
531,san severo,41.6897,15.376,60.67,65,99,0.54,IT,1634668610
532,chateau-gontier,47.8333,-0.7,67.89,81,83,8.52,FR,1634668610
533,alamosa,37.4695,-105.87,52.66,30,40,12.66,US,1634668611
534,izazi,-7.2,35.7333,76.96,51,63,4.81,TZ,1634668611
535,milkovo,54.7167,158.6167,29.46,68,3,13.98,RU,1634668390
536,puerto baquerizo moreno,-0.9,-89.6,76.19,69,75,14.97,EC,1634668302
537,kavaratti,10.5669,72.642,82.13,74,94,9.31,IN,1634668066
538,coshocton,40.272,-81.8596,73.26,45,3,1.01,US,1634668612
539,hasaki,35.7333,140.8333,54.28,80,38,10.18,JP,1634668612
540,impfondo,1.6381,18.0667,72.45,98,99,2.48,CG,1634668142
541,linhares,-19.3911,-40.0722,71.4,98,100,5.7,BR,1634668612
542,staryy nadym,65.6118,72.6842,41.67,94,100,19.42,RU,1634668613
543,pangody,65.85,74.4859,40.66,94,100,16.11,RU,1634668613
544,necochea,-38.5473,-58.7368,69.64,50,8,6.82,AR,1634668613
545,krasnoselkup,65.7,82.4667,36.93,96,100,16.15,RU,1634668088
546,malinovoye ozero,51.6753,79.7825,40.64,71,42,5.99,RU,1634668274
547,mombetsu,44.3525,143.3525,47.86,94,100,9.44,JP,1634668348
548,kumba,4.6363,9.4469,72.03,93,100,5.01,CM,1634668614
549,matamoros,25.5333,-103.25,84.11,36,75,6.91,MX,1634668331
550,yairipok,24.6667,94.0667,66.69,99,94,1.21,IN,1634668342
551,vestmannaeyjar,63.4427,-20.2734,45.59,65,100,3.44,IS,1634668043
552,beipiao,41.7919,120.7792,35.69,46,0,2.48,CN,1634668614
553,longyearbyen,78.2186,15.6401,13.84,73,20,14.97,SJ,1634668035
554,birao,10.2849,22.7882,80.51,57,41,4.23,CF,1634668270
555,mporokoso,-9.3727,30.125,72.82,42,39,9.93,ZM,1634668615
556,port hardy,50.6996,-127.4199,50.18,76,75,26.46,CA,1634668205
557,basco,20.4487,121.9702,80.11,75,70,17.69,PH,1634668615
558,ningbo,29.8782,121.5495,62.58,77,40,6.71,CN,1634668616
559,sao joao da barra,-21.6403,-41.0511,71.69,89,100,17.36,BR,1634668240
560,fortuna,40.5982,-124.1573,61.66,61,1,5.99,US,1634668616
561,clyde river,70.4692,-68.5914,37.63,75,40,20.71,CA,1634668156
562,tasiilaq,65.6145,-37.6368,33.96,51,0,2.77,GL,1634668184
563,holland,42.7875,-86.1089,72.97,52,1,5.01,US,1634668523
564,luderitz,-26.6481,15.1594,62.65,59,5,6.26,NA,1634667899
565,kota belud,6.351,116.4305,75.06,85,87,3.49,MY,1634668617
566,zaysan,47.4667,84.8667,45.14,29,0,5.5,KZ,1634668617
567,witu,-2.3889,40.4382,78.96,83,48,10.89,KE,1634668617
568,vostok,46.4856,135.8833,12.34,79,3,2.28,RU,1634668235
569,chivacoa,10.1603,-68.895,79.03,53,98,6.42,VE,1634668618
570,turtas,58.9417,69.1325,49.42,54,100,9.1,RU,1634668332
571,nanlong,31.3533,106.0631,56.68,95,100,5.01,CN,1634668618
572,yura,-16.2522,-71.6797,68.52,16,0,10.36,PE,1634668619
573,arrecife,28.963,-13.5477,76.98,69,0,13.8,ES,1634667881
574,rawa mazowiecka,51.7644,20.2549,53.71,71,100,10.54,PL,1634668619
575,codrington,-38.2667,141.9667,45.14,97,80,11.61,AU,1634668619
576,fairbanks,64.8378,-147.7164,29.3,80,75,8.05,US,1634668133
577,winnemucca,40.973,-117.7357,50.11,71,1,4.61,US,1634668620
578,terrace,54.5163,-128.6035,43.43,70,75,19.57,CA,1634668620
